task,n_train,target_es,actual_es,kl,logit_diff,prob_diff
ioi_t1,20,1.0,0.9854263067245483,1.2960264121443767,-2.059028424519999,
ioi_t1,20,1.01,0.9878552556037903,1.2357041224112923,-1.7556793523487582,
ioi_t1,20,1.02,0.9886749982833862,1.164475363689038,-1.438565975308035,
ioi_t1,20,1.05,0.9902538061141968,1.3355348034150771,-1.6247595134879305,
ioi_t1,20,1.1,0.9935025572776794,1.7742839320962833,-2.3378972383471024,
ioi_t1,50,0.945,0.9588596224784851,0.7163370449210096,0.11797935943383624,
ioi_t1,50,0.94,0.9598008394241333,0.5723009802773218,0.7358749255599104,
ioi_t1,50,0.95,0.9630191922187805,0.39516877289774976,0.9913539306087513,
ioi_t1,50,0.955,0.9681807160377502,0.8519812744053421,-0.5678933510137045,
ioi_t1,50,0.96,0.9714598059654236,0.9943844301728758,-0.5795156740848908,
ioi_t1,50,0.965,0.9730689525604248,1.2279126492180459,-1.2349755042223798,
ioi_t1,50,0.97,0.9753764867782593,0.6044931041974368,0.2835756065496359,
ioi_t1,50,0.975,0.9785037636756897,0.8435609389645009,-0.2449047633912053,
ioi_t1,50,0.98,0.9798396825790405,0.7708253405220296,-0.354984909187015,
ioi_t1,50,0.985,0.9809327125549316,0.8054748258459032,-0.16110357758792987,
ioi_t1,50,0.99,0.9820257425308228,0.6827841052449497,0.26256784902762287,
ioi_t1,50,0.995,0.9838171005249023,0.7166700549214119,0.3533416656495832,
ioi_t1,50,1.0,0.9850316047668457,1.4621839962720358,-1.805531679269097,
ioi_t1,50,1.01,0.9863978624343872,1.1660498213420936,-0.634857797871116,
ioi_t1,50,1.02,0.9868836402893066,0.9292958007148832,-0.2019908499286915,
ioi_t1,50,1.05,0.9904966950416565,1.2511901904473652,-0.7871223264067734,
ioi_t1,50,1.1,0.9906485080718994,0.9881177583102622,-0.29126716371042977,
ioi_t1,100,0.945,0.9588596224784851,0.7163371805398395,0.11797976845344939,
ioi_t1,100,0.94,0.9598008394241333,0.572301363392803,0.7358751909099308,
ioi_t1,100,0.95,0.9630191922187805,0.3951685830962274,0.9913526241563401,
ioi_t1,100,0.955,0.9681807160377502,0.8519808134365434,-0.5678934940489945,
ioi_t1,100,0.96,0.9714598059654236,0.9943837547923479,-0.5795153273326729,
ioi_t1,100,0.965,0.9730689525604248,1.2279130036942352,-1.2349754692300066,
ioi_t1,100,0.97,0.9753764867782593,0.6044932195471345,0.283574616931492,
ioi_t1,100,0.975,0.9785037636756897,0.8435609635987625,-0.24490598537562203,
ioi_t1,100,0.98,0.9798396825790405,0.7708250058520342,-0.3549838719961583,
ioi_t1,100,0.985,0.9809327125549316,0.8054747392552035,-0.16110480665539495,
ioi_t1,100,0.99,0.9820257425308228,0.6827834971781974,0.26256729031254006,
ioi_t1,100,0.995,0.9838171005249023,0.7166697850906856,0.3533431576355745,
ioi_t1,100,1.0,0.9850316047668457,1.4621846978267956,-1.805531404510251,
ioi_t1,100,1.01,0.9863978624343872,1.166049116320245,-0.6348588134956762,
ioi_t1,100,1.02,0.9868836402893066,0.9292956274274052,-0.2019912299818084,
ioi_t1,100,1.05,0.9904966950416565,1.2511897487238348,-0.7871221067265574,
ioi_t1,100,1.1,0.9906485080718994,0.9881176547520131,-0.2912693055396782,
ioi_t1,200,0.945,0.9588596224784851,0.7163374087027462,0.11797930594096359,
ioi_t1,200,0.945,0.9588596224784851,0.7163373554041572,0.11797957329960966,
ioi_t1,200,0.94,0.9598008394241333,0.5723011115843842,0.7358755243417892,
ioi_t1,200,0.94,0.9598008394241333,0.572300964029493,0.7358753731662796,
ioi_t1,200,0.95,0.9630191922187805,0.3951685104623065,0.9913529998750542,
ioi_t1,200,0.95,0.9630191922187805,0.3951685439810535,0.9913527535541189,
ioi_t1,200,0.955,0.9681807160377502,0.8519813453644361,-0.5678936199581077,
ioi_t1,200,0.955,0.9681807160377502,0.8519812516675624,-0.56789345355933,
ioi_t1,200,0.96,0.9714598059654236,0.9943845372653706,-0.5795155905683504,
ioi_t1,200,0.96,0.9714598059654236,0.994384852788859,-0.5795153351557412,
ioi_t1,200,0.965,0.9730689525604248,1.2279132146754095,-1.2349753631957154,
ioi_t1,200,0.965,0.9730689525604248,1.2279138368096134,-1.2349754094998227,
ioi_t1,200,0.97,0.9753764867782593,0.6044932121974447,0.28357515408027834,
ioi_t1,200,0.97,0.9753764867782593,0.6044936512556952,0.28357572632715505,
ioi_t1,200,0.975,0.9785037636756897,0.8435610590308968,-0.24490500833781778,
ioi_t1,200,0.975,0.9785037636756897,0.8435609612109644,-0.24490542200898505,
ioi_t1,200,0.98,0.9798396825790405,0.7708247356568599,-0.35498409262782865,
ioi_t1,200,0.98,0.9798396825790405,0.7708251376417924,-0.3549842684354318,
ioi_t1,200,0.985,0.9809327125549316,0.8054747135704295,-0.1611042192909673,
ioi_t1,200,0.985,0.9809327125549316,0.8054750340273931,-0.1611039657812665,
